date,model,predicted_close,predicted_log_return
2025-12-01,rnn,3990.9152576669558,0.0010041197466420515
2025-12-02,rnn,3994.9206394036887,0.0010031215577747943
2025-12-03,rnn,3998.9324091211547,0.0010037137360206783
2025-12-04,rnn,4002.9308320010987,0.0009993730440629733
2025-12-05,rnn,4006.906614174129,0.0009927248901763497
2025-12-01,transformer,3991.1402117404396,0.0010604846953463087
2025-12-02,transformer,3995.3875198007054,0.0010636182840512987
2025-12-03,transformer,3999.62783312708,0.0010607393574074142
2025-12-04,transformer,4003.8287935070216,0.0010497866013960966
2025-12-05,transformer,4008.0053297686227,0.0010425918898623598
2025-12-01,hybrid,3990.6221068405384,0.0009306625132392415
2025-12-02,hybrid,3994.3608664969433,0.000936447815132399
2025-12-03,hybrid,3998.1148287180263,0.0009393741414513296
2025-12-04,hybrid,4001.8713156109407,0.0009391234187734049
2025-12-05,hybrid,4005.6244851015836,0.0009374141077035797
